trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 1}",20,0,-53.879029719259215,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
141,False,"{'a': 0.5, 'e': 1}",30,14,-38.62557959023986,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 1}",30,10,-260.6383962810923,"{0: 8, 1: 0, 2: 7, 3: 0, 4: 5}",1
143,False,"{'a': 0.5, 'e': 1}",25,0,-232.7157630271662,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
144,False,"{'a': 0.5, 'e': 1}",25,0,-102.6589756535952,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 1}",25,0,-33.362134760653646,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 1}",20,0,-85.01108545816862,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 1}",25,0,-33.23045195672445,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 1}",25,0,-212.83806364930047,"{0: 9, 1: 4, 2: 9, 3: 0, 4: 3}",0
149,False,"{'a': 0.5, 'e': 1}",20,0,-74.30796487247629,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 1}",20,0,-100.86535184580961,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 1}",30,0,-228.02991215853652,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
152,False,"{'a': 0.5, 'e': 1}",20,0,-98.40152330214858,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 1}",20,0,-117.17995033854014,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
